,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-15T00:52:14.142,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400027_pseudo-postisrccd.fits,27,PN M 3-38,collimator,holo4_003,1.1595334760049496,300.0,-0.01299402117729187,1.15,743.9000244140625,13.925000190734863,14.0625,2.585400104522705,,,,,    ,,
1,1,2023-09-15T02:45:30.628,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400094_pseudo-postisrccd.fits,94,HD160617,collimator,holo4_003,1.4814441083317365,30.0,0.009000299498438835,1.15,744.0499877929688,14.225000381469727,13.512499809265137,1.7513999938964844,,,,,    ,,
2,2,2023-09-15T02:46:18.074,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400095_pseudo-postisrccd.fits,95,HD160617,collimator,holo4_003,1.4856863742360589,30.0,0.009000299498438835,1.15,744.0499877929688,14.25,13.574999809265137,1.417799949645996,,,,,    ,,
3,3,2023-09-15T02:58:39.078,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400108_pseudo-postisrccd.fits,108,HD160617,collimator,holo4_003,1.5565552676097953,30.0,0.009000299498438835,1.15,743.9000244140625,14.574999809265137,13.100000381469727,2.418600082397461,,,,,    ,,
4,4,2023-09-15T02:59:18.764,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400109_pseudo-postisrccd.fits,109,HD160617,collimator,holo4_003,1.5605970973658905,30.0,0.009000299498438835,1.15,743.9000244140625,14.574999809265137,13.137499809265137,2.251800060272217,,,,,    ,,
5,5,2023-09-15T03:06:43.715,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400120_pseudo-postisrccd.fits,120,HD185975,collimator,holo4_003,1.844666878398332,30.0,0.009000299498438835,1.15,743.9000244140625,14.574999809265137,13.149999618530273,2.585400104522705,,,,,    ,,
6,6,2023-09-15T03:07:26.770,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400121_pseudo-postisrccd.fits,121,HD185975,collimator,holo4_003,1.8448015564922702,30.0,0.009000299498438835,1.15,743.9000244140625,14.600000381469727,13.050000190734863,2.75219988822937,,,,,    ,,
7,7,2023-09-15T03:15:59.740,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400132_pseudo-postisrccd.fits,132,HD160617,collimator,holo4_003,1.672494284598275,30.0,0.009000299498438835,1.15,743.9000244140625,14.6875,12.925000190734863,2.502000093460083,,,,,    ,,
8,8,2023-09-15T03:16:42.660,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400133_pseudo-postisrccd.fits,133,HD160617,collimator,holo4_003,1.677756913843015,30.0,0.009000299498438835,1.15,743.9000244140625,14.699999809265137,12.899999618530273,2.585400104522705,,,,,    ,,
9,9,2023-09-15T03:32:33.304,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400145_pseudo-postisrccd.fits,145,HD167060,collimator,holo4_003,1.5549416777041845,30.0,0.009000299498438835,1.15,743.9000244140625,14.649999618530273,13.1875,2.0850000381469727,,,,,    ,,
10,10,2023-09-15T03:33:16.241,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400146_pseudo-postisrccd.fits,146,HD167060,collimator,holo4_003,1.5576390764973045,30.0,0.009000299498438835,1.15,743.9000244140625,14.699999809265137,13.175000190734863,2.0850000381469727,,,,,    ,,
11,11,2023-09-15T03:42:29.583,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400157_pseudo-postisrccd.fits,157,HD205905,collimator,holo4_003,1.0226315170905893,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.125,2.251800060272217,,,,,    ,,
12,12,2023-09-15T03:43:12.547,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400158_pseudo-postisrccd.fits,158,HD205905,collimator,holo4_003,1.023214473598658,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.149999618530273,2.251800060272217,,,,,    ,,
13,13,2023-09-15T03:51:33.696,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400169_pseudo-postisrccd.fits,169,HD009051,collimator,holo4_003,1.255919213235797,30.0,0.009000299498438835,1.15,743.75,14.800000190734863,13.1875,2.418600082397461,,,,,    ,,
14,14,2023-09-15T03:52:16.804,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400170_pseudo-postisrccd.fits,170,HD009051,collimator,holo4_003,1.2533498953476208,30.0,0.009000299498438835,1.15,743.75,14.800000190734863,13.175000190734863,2.251800060272217,,,,,    ,,
15,15,2023-09-15T04:00:23.568,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400182_pseudo-postisrccd.fits,182,HD185975,collimator,holo4_003,1.858639214917098,30.0,0.009000299498438835,1.15,743.5999755859375,14.600000381469727,13.300000190734863,2.418600082397461,,,,,    ,,
16,16,2023-09-15T04:01:06.548,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400183_pseudo-postisrccd.fits,183,HD185975,collimator,holo4_003,1.8588635464758032,30.0,0.009000299498438835,1.15,743.5999755859375,14.600000381469727,13.300000190734863,2.585400104522705,,,,,    ,,
17,17,2023-09-15T04:10:23.733,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400194_pseudo-postisrccd.fits,194,Feige110,collimator,holo4_003,1.1081125201059214,30.0,0.009000299498438835,1.15,743.5999755859375,14.699999809265137,13.175000190734863,2.251800060272217,,,,,    ,,
18,18,2023-09-15T04:11:06.722,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400195_pseudo-postisrccd.fits,195,Feige110,collimator,holo4_003,1.1078466100670228,30.0,0.009000299498438835,1.15,743.5999755859375,14.662500381469727,13.199999809265137,2.418600082397461,,,,,    ,,
19,19,2023-09-15T04:28:03.956,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400215_pseudo-postisrccd.fits,215,HD2811,collimator,holo4_003,1.06085572009565,30.0,0.002623823471367359,1.15,743.2999877929688,14.550000190734863,13.125,3.586199998855591,,,,,    ,,
20,20,2023-09-15T04:28:47.072,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400216_pseudo-postisrccd.fits,216,HD2811,collimator,holo4_003,1.0601683842136582,30.0,0.002623823471367359,1.15,743.2999877929688,14.574999809265137,13.100000381469727,4.086599826812744,,,,,    ,,
21,21,2023-09-15T04:36:24.312,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400227_pseudo-postisrccd.fits,227,HD200654,collimator,holo4_003,1.1876980609717827,30.0,0.002623823471367359,1.15,743.2999877929688,14.699999809265137,12.949999809265137,4.503600120544434,,,,,    ,,
22,22,2023-09-15T04:37:07.344,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400228_pseudo-postisrccd.fits,228,HD200654,collimator,holo4_003,1.189108978053594,30.0,0.002623823471367359,1.15,743.2999877929688,14.699999809265137,12.925000190734863,4.586999893188477,,,,,    ,,
23,23,2023-09-15T04:46:39.180,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400239_pseudo-postisrccd.fits,239,HD205905,collimator,holo4_003,1.111564957794947,30.0,0.002623823471367359,1.15,743.1500244140625,14.75,12.875,4.586999893188477,,,,,    ,,
24,24,2023-09-15T04:47:22.122,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400240_pseudo-postisrccd.fits,240,HD205905,collimator,holo4_003,1.113024573787808,30.0,0.002623823471367359,1.15,743.1500244140625,14.774999618530273,12.875,4.837200164794922,,,,,    ,,
25,25,2023-09-15T04:55:33.210,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400252_pseudo-postisrccd.fits,252,HD185975,collimator,holo4_003,1.879793872109791,30.0,0.002623823471367359,1.15,743.1500244140625,14.875,12.625,4.837200164794922,,,,,    ,,
26,26,2023-09-15T04:56:16.264,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400253_pseudo-postisrccd.fits,253,HD185975,collimator,holo4_003,1.8801060599640673,30.0,0.002623823471367359,1.15,743.1500244140625,14.824999809265137,12.675000190734863,4.920599937438965,,,,,    ,,
