,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-14T01:50:15.118,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300235_pseudo-postisrccd.fits,235,HD160617,empty_1,holo4_003,1.2404746816858487,30.0,-0.01018898282200098,1.15,744.6500244140625,6.324999809265137,20.200000762939453,5.254199981689453,,,,,    ,,
1,1,2023-09-14T02:03:50.568,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300241_pseudo-postisrccd.fits,241,HD160617,empty_1,holo4_003,1.2844032628145448,30.0,-0.01018898282200098,1.15,744.6500244140625,6.375,19.225000381469727,5.587800025939941,,,,,    ,,
2,2,2023-09-14T02:04:33.569,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300242_pseudo-postisrccd.fits,242,HD160617,empty_1,holo4_003,1.2868814533446737,30.0,-0.01018898282200098,1.15,744.6500244140625,6.400000095367432,19.075000762939453,5.421000003814697,,,,,    ,,
3,3,2023-09-14T03:00:13.027,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300256_pseudo-postisrccd.fits,256,PN M 3-38,empty_1,holo4_003,1.817433176591541,30.0,0.000350534683093428,1.15,744.6500244140625,6.900000095367432,15.25,4.586999893188477,,,,,    ,,
4,4,2023-09-14T03:00:56.121,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300257_pseudo-postisrccd.fits,257,PN M 3-38,empty_1,holo4_003,1.8245953952917642,30.0,0.000350534683093428,1.15,744.7999877929688,6.875,15.300000190734863,5.421000003814697,,,,,    ,,
5,5,2023-09-14T03:04:26.974,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300260_pseudo-postisrccd.fits,260,PN M 3-38,empty_1,holo4_003,1.8606851217398765,30.0,0.000350534683093428,1.15,744.6500244140625,6.925000190734863,15.149999618530273,5.92140007019043,,,,,    ,,
6,6,2023-09-14T03:05:09.998,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300261_pseudo-postisrccd.fits,261,PN M 3-38,empty_1,holo4_003,1.868252513000344,30.0,0.000350534683093428,1.15,744.6500244140625,6.949999809265137,15.175000190734863,5.92140007019043,,,,,    ,,
7,7,2023-09-14T03:11:50.502,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300264_pseudo-postisrccd.fits,264,PN M 3-38,empty_1,holo4_003,1.9422276162879264,30.0,0.000350534683093428,1.15,744.5,6.862500190734863,15.574999809265137,5.671199798583984,,,,,    ,,
8,8,2023-09-14T03:34:54.438,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300281_pseudo-postisrccd.fits,281,HD185975,empty_1,holo4_003,1.8501551085789987,30.0,0.023492442443966866,1.15,744.7999877929688,6.949999809265137,15.199999809265137,4.586999893188477,,,,,    ,,
9,9,2023-09-14T03:35:37.476,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300282_pseudo-postisrccd.fits,282,HD185975,empty_1,holo4_003,1.8503320316252,30.0,0.023492442443966866,1.15,744.6500244140625,6.925000190734863,15.149999618530273,5.087399959564209,,,,,    ,,
10,10,2023-09-14T03:43:49.983,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300293_pseudo-postisrccd.fits,293,HD200654,empty_1,holo4_003,1.103773309929412,30.0,0.023492442443966866,1.15,744.6500244140625,7.099999904632568,15.175000190734863,5.7546000480651855,,,,,    ,,
11,11,2023-09-14T03:44:32.988,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300294_pseudo-postisrccd.fits,294,HD200654,empty_1,holo4_003,1.1045287427813146,30.0,0.023492442443966866,1.15,744.6500244140625,7.099999904632568,15.125,5.587800025939941,,,,,    ,,
12,12,2023-09-14T03:51:46.980,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300305_pseudo-postisrccd.fits,305,HD160617,empty_1,holo4_003,1.9520562244227555,30.0,0.023492442443966866,1.15,744.6500244140625,6.974999904632568,15.324999809265137,5.254199981689453,,,,,    ,,
13,13,2023-09-14T03:52:29.897,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300306_pseudo-postisrccd.fits,306,HD160617,empty_1,holo4_003,1.9595664758959268,30.0,0.023492442443966866,1.15,744.6500244140625,6.949999809265137,15.350000381469727,5.421000003814697,,,,,    ,,
14,14,2023-09-14T04:00:06.929,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300317_pseudo-postisrccd.fits,317,HD14943,empty_1,holo4_003,1.4033778658614064,30.0,0.023492442443966866,1.15,744.6500244140625,7.074999809265137,15.050000190734863,5.7546000480651855,,,,,    ,,
15,15,2023-09-14T04:00:49.906,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300318_pseudo-postisrccd.fits,318,HD14943,empty_1,holo4_003,1.4006768966465786,30.0,0.023492442443966866,1.15,744.5,7.099999904632568,14.949999809265137,5.8379998207092285,,,,,    ,,
16,16,2023-09-14T04:07:55.141,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300329_pseudo-postisrccd.fits,329,HD2811,empty_1,holo4_003,1.0882562120151527,30.0,0.023492442443966866,1.15,744.5,7.025000095367432,14.949999809265137,4.920599937438965,,,,,    ,,
17,17,2023-09-14T04:08:38.117,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300330_pseudo-postisrccd.fits,330,HD2811,empty_1,holo4_003,1.0873085616706293,30.0,0.023492442443966866,1.15,744.5,7.0,14.962499618530273,4.503600120544434,,,,,    ,,
18,18,2023-09-14T04:16:16.132,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300341_pseudo-postisrccd.fits,341,HD200654,empty_1,holo4_003,1.1456370192089718,30.0,0.023492442443966866,1.15,744.3499755859375,7.150000095367432,14.725000381469727,6.505199909210205,,,,,    ,,
19,19,2023-09-14T04:16:59.060,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300342_pseudo-postisrccd.fits,342,HD200654,empty_1,holo4_003,1.146738772170339,30.0,0.023492442443966866,1.15,744.3499755859375,7.099999904632568,14.824999809265137,6.421800136566162,,,,,    ,,
20,20,2023-09-14T04:26:29.722,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300353_pseudo-postisrccd.fits,353,HD205905,empty_1,holo4_003,1.0688829539380442,30.0,0.023492442443966866,1.15,744.3499755859375,7.150000095367432,14.350000381469727,5.92140007019043,,,,,    ,,
21,21,2023-09-14T04:27:12.674,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300354_pseudo-postisrccd.fits,354,HD205905,empty_1,holo4_003,1.069979434873662,30.0,0.023492442443966866,1.15,744.3499755859375,7.175000190734863,14.324999809265137,5.087399959564209,,,,,    ,,
22,22,2023-09-14T04:35:38.962,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300365_pseudo-postisrccd.fits,365,HD009051,empty_1,holo4_003,1.1384549198000387,30.0,0.023492442443966866,1.15,744.3499755859375,7.074999809265137,14.75,5.7546000480651855,,,,,    ,,
23,23,2023-09-14T04:36:21.902,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300366_pseudo-postisrccd.fits,366,HD009051,empty_1,holo4_003,1.1367918645035615,30.0,0.023492442443966866,1.15,744.3499755859375,7.050000190734863,14.725000381469727,5.004000186920166,,,,,    ,,
24,24,2023-09-14T04:43:26.689,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300377_pseudo-postisrccd.fits,377,HD14943,empty_1,holo4_003,1.266799599307383,30.0,0.023492442443966866,1.15,744.2000122070312,7.162499904632568,14.850000381469727,6.505199909210205,,,,,    ,,
25,25,2023-09-14T04:44:09.748,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_postisrccd_img_forspectractor_2023/empty~holo4_003/20230913,exposure_2023091300378_pseudo-postisrccd.fits,378,HD14943,empty_1,holo4_003,1.2649305815280731,30.0,0.023492442443966866,1.15,744.2000122070312,7.199999809265137,14.699999809265137,6.088200092315674,,,,,    ,,
