,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-09-15T03:15:59.740,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400132_flatten_v1.fits,132,HD160617,collimator,holo4_003,1.672494284598275,30.0,0.009000299498438835,1.15,743.9000244140625,14.6875,12.925000190734863,2.502000093460083,,,,,    ,,
1,1,2023-09-15T03:15:59.740,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400132_flatten_v2.fits,132,HD160617,collimator,holo4_003,1.672494284598275,30.0,0.009000299498438835,1.15,743.9000244140625,14.6875,12.925000190734863,2.502000093460083,,,,,    ,,
2,2,2023-09-15T03:15:59.740,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400132_flatten_v3.fits,132,HD160617,collimator,holo4_003,1.672494284598275,30.0,0.009000299498438835,1.15,743.9000244140625,14.6875,12.925000190734863,2.502000093460083,,,,,    ,,
3,3,2023-09-15T03:15:59.740,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400132_flatten_v4.fits,132,HD160617,collimator,holo4_003,1.672494284598275,30.0,0.009000299498438835,1.15,743.9000244140625,14.6875,12.925000190734863,2.502000093460083,,,,,    ,,
4,4,2023-09-15T03:42:29.583,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400157_flatten_v1.fits,157,HD205905,collimator,holo4_003,1.0226315170905893,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.125,2.251800060272217,,,,,    ,,
5,5,2023-09-15T03:42:29.583,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400157_flatten_v2.fits,157,HD205905,collimator,holo4_003,1.0226315170905893,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.125,2.251800060272217,,,,,    ,,
6,6,2023-09-15T03:42:29.583,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400157_flatten_v3.fits,157,HD205905,collimator,holo4_003,1.0226315170905893,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.125,2.251800060272217,,,,,    ,,
7,7,2023-09-15T03:42:29.583,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400157_flatten_v4.fits,157,HD205905,collimator,holo4_003,1.0226315170905893,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.125,2.251800060272217,,,,,    ,,
8,8,2023-09-15T03:43:12.547,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400158_flatten_v1.fits,158,HD205905,collimator,holo4_003,1.023214473598658,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.149999618530273,2.251800060272217,,,,,    ,,
9,9,2023-09-15T03:43:12.547,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400158_flatten_v2.fits,158,HD205905,collimator,holo4_003,1.023214473598658,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.149999618530273,2.251800060272217,,,,,    ,,
10,10,2023-09-15T03:43:12.547,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400158_flatten_v3.fits,158,HD205905,collimator,holo4_003,1.023214473598658,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.149999618530273,2.251800060272217,,,,,    ,,
11,11,2023-09-15T03:43:12.547,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400158_flatten_v4.fits,158,HD205905,collimator,holo4_003,1.023214473598658,30.0,0.009000299498438835,1.15,743.9000244140625,14.675000190734863,13.149999618530273,2.251800060272217,,,,,    ,,
12,12,2023-09-15T03:51:33.696,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400169_flatten_v1.fits,169,HD009051,collimator,holo4_003,1.255919213235797,30.0,0.009000299498438835,1.15,743.75,14.800000190734863,13.1875,2.418600082397461,,,,,    ,,
13,13,2023-09-15T03:51:33.696,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400169_flatten_v2.fits,169,HD009051,collimator,holo4_003,1.255919213235797,30.0,0.009000299498438835,1.15,743.75,14.800000190734863,13.1875,2.418600082397461,,,,,    ,,
14,14,2023-09-15T03:51:33.696,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400169_flatten_v3.fits,169,HD009051,collimator,holo4_003,1.255919213235797,30.0,0.009000299498438835,1.15,743.75,14.800000190734863,13.1875,2.418600082397461,,,,,    ,,
15,15,2023-09-15T03:51:33.696,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400169_flatten_v4.fits,169,HD009051,collimator,holo4_003,1.255919213235797,30.0,0.009000299498438835,1.15,743.75,14.800000190734863,13.1875,2.418600082397461,,,,,    ,,
16,16,2023-09-15T04:00:23.568,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400182_flatten_v1.fits,182,HD185975,collimator,holo4_003,1.858639214917098,30.0,0.009000299498438835,1.15,743.5999755859375,14.600000381469727,13.300000190734863,2.418600082397461,,,,,    ,,
17,17,2023-09-15T04:00:23.568,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400182_flatten_v2.fits,182,HD185975,collimator,holo4_003,1.858639214917098,30.0,0.009000299498438835,1.15,743.5999755859375,14.600000381469727,13.300000190734863,2.418600082397461,,,,,    ,,
18,18,2023-09-15T04:00:23.568,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400182_flatten_v3.fits,182,HD185975,collimator,holo4_003,1.858639214917098,30.0,0.009000299498438835,1.15,743.5999755859375,14.600000381469727,13.300000190734863,2.418600082397461,,,,,    ,,
19,19,2023-09-15T04:00:23.568,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400182_flatten_v4.fits,182,HD185975,collimator,holo4_003,1.858639214917098,30.0,0.009000299498438835,1.15,743.5999755859375,14.600000381469727,13.300000190734863,2.418600082397461,,,,,    ,,
20,20,2023-09-15T04:10:23.733,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400194_flatten_v1.fits,194,Feige110,collimator,holo4_003,1.1081125201059214,30.0,0.009000299498438835,1.15,743.5999755859375,14.699999809265137,13.175000190734863,2.251800060272217,,,,,    ,,
21,21,2023-09-15T04:10:23.733,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400194_flatten_v2.fits,194,Feige110,collimator,holo4_003,1.1081125201059214,30.0,0.009000299498438835,1.15,743.5999755859375,14.699999809265137,13.175000190734863,2.251800060272217,,,,,    ,,
22,22,2023-09-15T04:10:23.733,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400194_flatten_v3.fits,194,Feige110,collimator,holo4_003,1.1081125201059214,30.0,0.009000299498438835,1.15,743.5999755859375,14.699999809265137,13.175000190734863,2.251800060272217,,,,,    ,,
23,23,2023-09-15T04:10:23.733,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400194_flatten_v4.fits,194,Feige110,collimator,holo4_003,1.1081125201059214,30.0,0.009000299498438835,1.15,743.5999755859375,14.699999809265137,13.175000190734863,2.251800060272217,,,,,    ,,
24,24,2023-09-15T04:28:03.956,/home/d/dagoret/rubin-user/DATA/AuxtelData2023/my_flatfield_img_forspectractor_2023/collimator~holo4_003/20230914,exposure_2023091400215_flatten_v1.fits,215,HD2811,collimator,holo4_003,1.06085572009565,30.0,0.002623823471367359,1.15,743.2999877929688,14.550000190734863,13.125,3.586199998855591,,,,,    ,,
